timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531302984501,238691,开始投注,200,HTTP/1.1 200,CT投注 1-579,text,true,,179,0,1000,1000,238691,0,0
1531302984504,238700,开始投注,200,HTTP/1.1 200,CT投注 1-294,text,true,,179,0,1000,1000,238700,0,0
1531302984502,238718,开始投注,200,HTTP/1.1 200,CT投注 1-613,text,true,,179,0,1000,1000,238718,0,0
1531302984507,238723,开始投注,200,HTTP/1.1 200,CT投注 1-307,text,true,,179,0,1000,1000,238723,0,0
1531302984610,238663,开始投注,200,HTTP/1.1 200,CT投注 1-762,text,true,,188,0,1000,1000,238663,0,0
1531302984615,238662,开始投注,200,HTTP/1.1 200,CT投注 1-593,text,true,,188,0,1000,1000,238662,0,0
1531302984612,238668,开始投注,200,HTTP/1.1 200,CT投注 1-498,text,true,,188,0,1000,1000,238668,0,0
1531302984610,238674,开始投注,200,HTTP/1.1 200,CT投注 1-697,text,true,,188,0,1000,1000,238674,0,0
1531302984653,238665,开始投注,200,HTTP/1.1 200,CT投注 1-357,text,true,,188,0,1000,1000,238665,0,0
1531302984616,238817,开始投注,200,HTTP/1.1 200,CT投注 1-242,text,true,,188,0,1000,1000,238817,0,0
1531302984517,238927,开始投注,200,HTTP/1.1 200,CT投注 1-154,text,true,,179,0,1000,1000,238927,0,0
1531302984511,238943,开始投注,200,HTTP/1.1 200,CT投注 1-504,text,true,,179,0,1000,1000,238943,0,0
1531302984512,238949,开始投注,200,HTTP/1.1 200,CT投注 1-317,text,true,,179,0,1000,1000,238949,0,0
1531302984508,238961,开始投注,200,HTTP/1.1 200,CT投注 1-499,text,true,,179,0,1000,1000,238961,0,0
1531302984619,238894,开始投注,200,HTTP/1.1 200,CT投注 1-447,text,true,,188,0,1000,1000,238894,0,0
1531302984619,238924,开始投注,200,HTTP/1.1 200,CT投注 1-567,text,true,,188,0,1000,1000,238924,0,0
1531302984521,239064,开始投注,200,HTTP/1.1 200,CT投注 1-631,text,true,,179,0,1000,1000,239064,0,0
1531302984620,238994,开始投注,200,HTTP/1.1 200,CT投注 1-937,text,true,,188,0,1000,1000,238994,0,0
1531302984655,238987,开始投注,200,HTTP/1.1 200,CT投注 1-823,text,true,,188,0,1000,1000,238987,0,0
1531302984625,239209,开始投注,200,HTTP/1.1 200,CT投注 1-364,text,true,,188,0,1000,1000,239209,0,0
1531302984660,239177,开始投注,200,HTTP/1.1 200,CT投注 1-53,text,true,,188,0,1000,1000,239177,0,0
1531302984526,239321,开始投注,200,HTTP/1.1 200,CT投注 1-620,text,true,,179,0,1000,1000,239321,0,0
1531302984528,239352,开始投注,200,HTTP/1.1 200,CT投注 1-265,text,true,,179,0,1000,1000,239352,0,0
1531302984627,239255,开始投注,200,HTTP/1.1 200,CT投注 1-650,text,true,,188,0,1000,1000,239255,0,0
1531302984533,239389,开始投注,200,HTTP/1.1 200,CT投注 1-416,text,true,,179,0,1000,1000,239389,0,0
1531302984628,239395,开始投注,200,HTTP/1.1 200,CT投注 1-820,text,true,,188,0,1000,1000,239395,0,0
1531302984627,239397,开始投注,200,HTTP/1.1 200,CT投注 1-778,text,true,,188,0,1000,1000,239397,0,0
1531302984536,239509,开始投注,200,HTTP/1.1 200,CT投注 1-525,text,true,,179,0,1000,1000,239509,0,0
1531302984662,239409,开始投注,200,HTTP/1.1 200,CT投注 1-542,text,true,,188,0,1000,1000,239409,0,0
1531302984628,239447,开始投注,200,HTTP/1.1 200,CT投注 1-64,text,true,,188,0,1000,1000,239447,0,0
1531302984662,239424,开始投注,200,HTTP/1.1 200,CT投注 1-771,text,true,,188,0,1000,1000,239424,0,0
1531302984536,239560,开始投注,200,HTTP/1.1 200,CT投注 1-121,text,true,,179,0,1000,1000,239560,0,0
1531302984663,239480,开始投注,200,HTTP/1.1 200,CT投注 1-341,text,true,,188,0,1000,1000,239480,0,0
